	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.33,1574.81,23.50,0
28.33,1575.63,23.50,1
28.34,1574.19,23.56,2
28.33,1576.24,23.56,3
28.33,1577.27,23.56,4
28.33,1575.63,23.56,5
28.33,1576.04,23.56,5
28.33,1576.04,23.62,6
28.33,1577.06,23.56,7
28.33,1577.47,23.56,8
28.33,1577.47,23.56,9
28.33,1576.45,23.62,9
28.33,1576.65,23.62,10
28.33,1576.04,23.62,11
28.33,1577.47,23.62,12
28.33,1577.06,23.62,13
28.33,1577.47,23.62,14
28.33,1577.06,23.62,14
28.33,1576.45,23.62,15
28.33,1576.65,23.62,16
28.33,1576.45,23.69,17
28.33,1577.06,23.69,18
28.33,1578.50,23.62,19
28.33,1578.09,23.62,19
28.33,1577.88,23.69,20
28.33,1578.70,23.62,21
28.33,1577.88,23.69,22
28.33,1576.45,23.69,23
28.33,1577.47,23.69,24
28.33,1575.83,23.75,24
28.33,1577.88,23.69,25
28.33,1578.70,23.69,26
28.33,1576.86,23.75,27
28.33,1575.63,23.75,28
28.33,1578.50,23.75,29
28.33,1577.68,23.75,29
28.33,1577.27,23.75,30
28.33,1577.88,23.75,31
28.33,1578.70,23.75,32
28.33,1579.73,23.75,33
28.33,1579.52,23.75,33
28.33,1579.52,23.75,34
28.33,1579.12,23.75,35
28.33,1577.47,23.81,36
28.33,1577.47,23.81,37
28.33,1578.91,23.81,38
28.33,1579.12,23.81,38
28.33,1579.93,23.81,39
28.33,1580.14,23.81,40
28.33,1580.34,23.81,41
28.33,1577.47,23.88,42
28.33,1579.93,23.81,43
28.33,1579.12,23.81,43
28.33,1579.12,23.81,44
28.33,1577.68,23.88,45
28.33,1580.75,23.81,46
28.33,1580.96,23.81,47
28.33,1579.52,23.88,48
28.33,1577.68,23.88,48
28.33,1579.12,23.88,49
28.33,1580.14,23.88,50
28.33,1579.52,23.88,51
28.33,1579.32,23.88,52
28.33,1580.34,23.88,53
28.33,1579.12,23.88,53
28.33,1578.70,23.88,54
28.33,1579.52,23.88,55
28.33,1578.70,23.94,56
28.33,1577.68,23.94,57
28.33,1579.12,23.94,57
28.33,1578.70,23.94,58
28.33,1579.12,23.94,59
28.33,1580.55,23.88,60
28.33,1580.75,23.88,61
28.33,1579.52,23.94,62
28.33,1580.55,23.88,62
28.33,1580.14,23.88,63
28.33,1581.16,23.88,64
28.33,1580.96,23.88,65
28.33,1580.55,23.88,66
28.33,1579.52,23.94,67
28.33,1578.70,23.94,67
28.33,1579.12,23.94,68
28.33,1579.93,23.88,69
28.33,1580.14,23.94,70
28.33,1579.52,23.94,71
28.33,1580.14,23.88,72
28.33,1579.73,23.94,72
28.33,1579.73,23.94,73
28.33,1579.93,23.94,74
28.33,1579.73,23.94,75
28.33,1580.14,23.94,76
28.33,1578.09,23.94,77
28.33,1579.73,23.94,77
28.33,1577.88,23.94,78
28.33,1578.50,23.94,79
28.33,1578.09,23.94,80
28.33,1578.91,23.94,81
28.33,1577.27,23.94,81
28.33,1578.70,23.94,82
28.33,1577.88,23.94,83
28.33,1577.88,23.94,84
28.33,1578.29,23.94,85
28.33,1578.91,23.94,86
28.33,1578.09,23.94,86
28.33,1579.52,23.94,87
28.33,1578.50,23.94,88
28.33,1577.68,23.94,89
28.33,1579.32,23.94,90
28.33,1578.70,23.94,91
28.33,1577.47,23.94,91
28.33,1578.29,23.94,92
28.33,1577.47,23.94,93
