Pascals--Inches (Hg)--,Altitude--meters--,Temperature--*C--
28.02,573.06,25.19
28.02,572.69,25.19
28.02,572.81,25.19
28.02,572.06,25.25
28.02,572.31,25.25
28.02,572.62,25.25
28.02,572.75,25.25
28.02,572.69,25.25
28.02,573.00,25.25
28.02,572.62,25.25
28.02,572.38,25.25
28.02,572.44,25.25
28.02,572.50,25.31
28.02,572.56,25.31
28.02,572.88,25.31
28.02,572.88,25.31
28.02,573.31,25.31
28.02,573.19,25.31
28.02,573.25,25.31
28.02,573.19,25.31
28.02,573.31,25.31
28.02,572.81,25.38
28.02,572.81,25.31
28.02,572.81,25.38
28.02,573.12,25.31
28.02,572.62,25.38
28.02,572.81,25.38
28.02,572.31,25.38
28.02,572.50,25.38
28.02,572.62,25.38
28.02,572.94,25.38
28.02,572.50,25.44
28.02,572.62,25.44
28.02,573.06,25.38
28.02,573.06,25.44
28.02,572.88,25.44
28.02,572.75,25.44
28.02,572.69,25.44
28.02,572.81,25.44
28.02,572.31,25.44
28.02,572.38,25.44
28.02,572.69,25.44
