Pascals--Inches (Hg)--,Altitude--meters--,Temperature--*C--,Millis()
28.18,524.31,23.06,0
28.19,524,23.12,1
28.19,524.25,23.12,2
28.19,523.88,23.12,3
28.19,523.81,23.12,4
28.19,524.38,23.12,5
28.19,523.75,23.12,5
28.19,523.56,23.12,6
28.19,523.62,23.12,7
28.19,523.5,23.12,8
28.19,523.38,23.12,9
28.19,523.19,23.12,10
28.19,523.31,23.12,10
28.19,523.12,23.12,11
28.19,523.56,23.12,12
28.19,523.5,23.12,13
28.19,523.5,23.12,14
28.19,523.56,23.12,14
28.19,523.25,23.12,15
28.19,523.94,23.12,16
28.19,523.81,23.12,17
28.19,523.94,23.12,18
28.19,524.19,23.12,19
28.19,524.25,23.12,19
28.19,524.5,23.06,20
28.19,523.94,23.12,21
28.19,523.69,23.12,22
28.19,524.44,23.06,23
28.19,524.19,23.06,24
28.19,524.56,23.06,24
28.19,524.19,23.06,25
28.19,524.25,23.06,26
28.18,524.62,23,27
28.18,524.38,23,28
28.19,523.69,23,29
28.19,523.44,23,29
28.19,523.94,23,30
28.19,524.19,23,31
28.19,524.31,22.94,32
28.18,524.5,22.94,33
28.18,524.06,22.94,34
28.19,524.06,22.94,34
28.19,524.12,22.94,35
28.19,524.44,22.94,36
28.18,524.25,22.94,37
28.18,524.38,22.88,38
28.19,524.25,22.94,38
28.18,524.69,22.88,39
28.18,524.5,22.88,40
28.19,524.38,22.88,41
28.18,524.88,22.88,42
28.18,524.75,22.88,43
28.18,524.38,22.88,43
28.19,524.38,22.88,44
28.19,524.06,22.88,45
28.18,526.12,22.88,46
28.17,530.38,22.81,47
28.16,530,22.81,48
28.16,533,22.69,48
28.15,536.25,22.62,49
28.14,539.56,22.56,50
28.13,543,22.5,51
28.11,547.31,22.38,52
28.1,549.19,22.31,53
28.1,550.5,22.19,53
28.09,553.31,22.12,54
28.08,557.25,22,55
28.07,559.38,21.88,56
28.06,561.81,21.75,57
28.06,564.12,21.69,57
28.05,567.25,21.56,58
28.03,570.44,21.44,59
28.02,571.88,21.31,60
28.03,568.56,21.25,61
28.04,568.06,21.12,62
28.04,568.94,21,62
